player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Dele Alli,30,Tottenham,28," M(CL),FW  ",22(3),1835,3,1.1,41.1,80.3,0.1,1,0.1,6.95,5,4,0,1.6,0.8,1,1.2,0.8,0.1,1.2,2,1.3,0.8,0.9,0,0.7,0.8,0.2,0
Jamie Vardy,14,Leicester,38," AM(L),FW  ",30(4),2733,4,0.9,12.2,65.6,0.2,0.2,0,6.94,18,3,1,2.3,2,3,0.4,0.6,1.1,0.6,1.5,0.4,0.2,0.6,0,0.8,0.4,0,0
Declan Rice,29,West Ham,26," D(C),DMC  ",34,3005,0,0.3,44.6,86.4,0,2.9,0,6.93,2,4,0,0.6,1.6,2,0.8,0.2,0,0.6,0.6,2.9,1.5,0.5,0,1.6,1.5,0.4,0
N'Golo Kanté,15,Chelsea,34, M(C)  ,36,3096,4,1.3,56.2,87.9,0.2,1,0.1,6.93,4,3,0,0.8,0.8,1,0.9,0.4,0.2,1.5,1.6,2.1,1.2,1,0,0.7,1.2,0.2,0
Michail Antonio,29,West Ham,35," D(R),M(CLR),FW  ",22(11),2101,4,0.7,20.2,68.1,0.2,0.8,0.1,6.92,6,3,0,2,2.4,2,1.8,1.3,0.3,2.1,2.5,0.7,0.5,1,0.1,0.6,0.2,0.1,0
James Milner,26,Liverpool,39," D(LR),M(CLR)  ",19(12),1787,4,1.4,45.2,84.6,1.2,2.6,0.1,6.91,5,5,1,0.8,0.6,1,0.5,0.9,0,0.3,1,1.4,0.6,0.9,0.2,0.7,0.8,0.2,0
Luke Shaw,32,Man Utd,29," D(CL),M(L)  ",29,2592,4,1.1,57.2,83.3,0.5,1.6,0.1,6.91,1,11,0,0.7,1.7,2,0.9,0.6,0,0.5,1,1.9,0.7,1.4,0.1,2.8,0.7,0.4,0
Nathan Redmond,18,Southampton,31," AM(CLR),FW  ",36(2),3278,4,1.4,29.6,75.4,0.6,1.3,0,6.91,6,3,0,1.9,0.7,3,2.4,0.7,0.4,2.1,2.2,1.2,0.5,0.8,0,0.6,0.7,0.1,0
Bernardo,211,Brighton,29," D(CLR),M(L)  ",19(3),1751,1,0.5,35.7,72.7,0.3,1,0,6.90,0,4,0,0.4,2,0,0.6,1,0.1,0.5,1.2,2.8,1.5,0.8,0.2,3,0.6,0.6,0
Anthony Martial,32,Man Utd,29," AM(LR),FW  ",18(9),1624,2,1.3,26.2,79.3,0.1,0.1,0.1,6.90,10,2,0,1.4,0.7,2,1.2,1,0.2,1.2,1.7,0.3,0.1,0.5,0,0.3,0.4,0,0
Arthur Masuaku,29,West Ham,31," D(L),M(L)  ",19(4),1758,1,0.6,38.3,83.3,0.2,2.2,0,6.90,0,2,0,0.2,0.9,1,1.6,0.2,0,1.2,1,2.5,1.6,0.7,0.7,2.4,1.1,0.3,0
Diogo Jota,161,Wolves,28," AM(CLR),FW  ",29(4),2372,5,0.8,22.6,75.6,0.2,0.5,0.1,6.89,9,11,0,1.8,0.8,3,1.7,1.7,0.2,1.5,2.3,0.8,0.4,1.3,0,0.3,0.8,0,0
Jan Vertonghen,30,Tottenham,37, D(CL)  ,22,1915,0,0.2,69.6,87.5,0.2,3.1,0,6.89,1,3,1,0.7,2.3,1,0.4,0.5,0,0.1,0.5,1.8,1.5,0.5,0.9,3.3,0.5,0.5,0
Richarlison,31,Everton,27," AM(CLR),FW  ",32(3),2679,1,0.6,22.7,68.5,0.1,0.6,0,6.89,13,5,1,2.4,2,3,1.1,2.1,0.5,2.6,3.2,1.4,0.5,0.9,0,1.1,0.5,0.1,0
Issa Diop,29,West Ham,28, D(C)  ,33,2970,0,0.1,34.4,86,0,1.6,0,6.89,1,4,0,0.4,2.3,1,0.2,0.5,0.1,0,0.4,2.1,1.9,0.5,1.1,4.7,0.6,1.1,1
Georginio Wijnaldum,26,Liverpool,34, M(CLR)  ,32(3),2736,0,0.7,50.5,91.1,0.1,1.6,0,6.89,3,3,0,0.9,0.9,1,0.8,0.9,0.1,1.1,1.5,1.2,0.6,0.5,0,0.7,0.4,0.2,0
Jorginho,15,Chelsea,33, DMC  ,37,3165,0,0.8,84.3,89.3,0,2.5,0.4,6.88,2,8,0,0.5,0.4,0,0.4,0.6,0,0.8,0.9,2.1,1.7,0.9,0,0.9,1.4,0.2,0
Nathaniel Méndez-Laing,188,Cardiff,32," M(CLR),FW  ",11(9),987,1,1,12.8,62,0.5,0.3,0.1,6.88,4,0,0,1,1.2,0,1.5,0.2,0.2,1,1.3,1.7,0.7,0.4,0,0.7,0.7,0.1,0
Henrikh Mkhitaryan,13,Arsenal,36," M(CLR),FW  ",19(6),1645,4,1.2,31.8,79.9,0.3,0.8,0.2,6.88,6,1,0,2,0.8,1,0.8,0.4,0.1,1,2,1.1,0.6,1.1,0,0.4,0.6,0.1,0
Jonny Evans,14,Leicester,37, D(CL)  ,21(3),1995,0,0.2,42.9,84.7,0,2.8,0,6.88,1,2,0,0.5,3,0,0,0.7,0,0.2,0.3,1,1.4,0.9,0.8,6.1,0.2,0.4,0
Séamus Coleman,31,Everton,36," D(CR),M(R)  ",29,2560,2,0.8,41.2,78.1,0.6,1.4,0,6.88,2,1,0,0.5,1.6,0,0.7,0.7,0.1,0.8,1.5,1.5,0.9,0.8,0.2,2.6,0.4,0.2,1
Pierre-Emile Højbjerg,18,Southampton,29, M(C)  ,31,2764,3,0.9,57.8,82.9,0.3,3.5,0.1,6.87,4,7,2,1.7,1.5,2,0.7,1.5,0,1.5,1.8,2.3,1.9,1.5,0.1,0.9,1.6,0.3,0
James Ward-Prowse,18,Southampton,30, M(CR)  ,21(5),1942,0,1.8,27.7,76.5,1.5,1,0,6.87,7,4,0,1.2,0.8,0,0.2,0.4,0.1,0.6,1,1.4,1,0.8,0,2,1.1,0.2,1
Ashley Young,32,Man Utd,39," D(LR),M(LR)  ",28(2),2569,2,1.3,45.9,77.5,1.4,3.7,0,6.87,2,8,1,0.4,0.8,0,0.6,1.1,0.1,0.6,0.8,1.7,1.8,1.2,0.3,1.9,0.6,0.3,0
Wes Morgan,14,Leicester,41, D(C)  ,21(1),1926,0,0.1,40.5,80.8,0,1.6,0,6.87,3,1,2,0.6,4.2,1,0.1,0.3,0.1,0,0.6,1.2,1.5,0.8,0.7,4.7,0,0.5,0
John Stones,167,Man City,30," D(CR),DMC  ",20(4),1763,0,0.2,73,94.2,0,4.3,0,6.87,0,1,0,0.2,2.5,0,0.3,0.3,0,0.1,0,0.7,0.6,0.3,0.3,2.5,0.2,0.4,0
Rúben Neves,161,Wolves,28, DMC  ,34(1),3009,3,0.7,55.4,81.2,0.1,6.1,0,6.86,4,8,0,2.1,0.9,0,0.3,0.5,0,0.8,0.8,2.1,2.1,1.1,0,1.3,1.6,0.5,0
Nathan Aké,183,Bournemouth,30," D(CL),DMC  ",38,3412,0,0.2,44.6,86,0.1,1.9,0,6.86,4,3,0,0.7,2.3,1,0.1,0.6,0.1,0.2,0.5,1.7,0.8,0.7,0.8,6.1,0.3,0.9,0
Ben Mee,184,Burnley,35, D(CL)  ,38,3420,2,0.2,39.5,74.9,0.1,4.7,0,6.86,0,9,0,0.6,3.9,1,0.2,0.5,0,0.1,0.4,1.4,1.3,0.7,0.5,6.1,0.2,1.3,2
