,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
179,Leif Davis,165,Ipswich,25," D(L),M(L)  ",26,2284,2,1.8,30.6,80.7,1.3,1,0.1,6.59,1,5,0,0.5,1.1,1,0.5,1.2,0.1,0.5,1.2,1.7,0.8,0.9,0.3,2.3,0.7,0.3,0
180,Arijanet Muric,165,Ipswich,26, GK  ,18,1620,0,0,29.7,68.2,0,5.2,0,6.59,0,1,0,0,0.6,2,0,0.2,0,0.1,0.2,0,0,0,0.1,1.1,0.1,0,0
181,Emerson,29,West Ham,30," D(L),M(L)  ",22(2),1717,1,0.6,28.9,81.2,0.7,1,0,6.59,2,5,0,0.5,0.5,0,0.3,0.5,0,0.3,0.8,2,0.8,0.8,0.1,1.8,0.6,0.3,0
182,Ilkay Gündogan,167,Man City,34, M(C)  ,16(8),1446,2,1.1,46.5,92.7,0.2,1,0.2,6.58,0,1,0,0.7,0.5,0,0.5,0.8,0,0.6,0.8,0.7,0.5,0.4,0,0.7,0.5,0,0
183,Jefferson Lerma,162,Crystal Palace,30," D(CR),DMC  ",17(5),1454,0,0.3,31.5,78,0,1.7,0.1,6.58,0,5,0,1,1.6,0,0.2,1.2,0,0.6,0.3,0.9,1.2,1.2,0,1.5,0.5,0.6,0
184,Amadou Onana,24,Aston Villa,23, DMC  ,14(3),1086,0,0.3,30.8,88.4,0.1,0.6,0,6.58,2,4,0,0.8,1.2,1,0.5,0.9,0,0.4,0.4,2.2,1.1,1.4,0,1.5,0.6,0.4,0
185,Jacob Greaves,165,Ipswich,24, D(CL)  ,17,1530,0,0.1,45.6,87.4,0,1,0,6.58,1,3,0,0.4,2.9,0,0.1,0.8,0.1,0.1,0.4,1.6,1,0.5,0.4,5.5,0.4,0.8,0
186,Curtis Jones,26,Liverpool,24, M(CL)  ,12(11),1124,3,0.6,27,94.2,0,0.5,0,6.58,3,1,1,1,0.5,1,0.4,0.9,0,1.1,0.8,1.1,0.2,0.5,0,0.2,0.3,0.2,0
187,Manuel Ugarte,32,Man Utd,23, DMC  ,15(5),1261,0,0.4,29.9,89.8,0.1,1.5,0.1,6.58,1,8,0,0.5,0.5,0,0.6,1.3,0,0.8,1.1,3,1,1.6,0,0.6,1.3,0.2,1
188,Tino Livramento,23,Newcastle,22, D(LR)  ,21(5),1852,0,0.5,33,86.3,0.2,0.6,0,6.57,0,1,0,0.1,0.7,0,0.6,1,0.1,1,0.7,1.5,0.8,0.2,0,2.6,0.6,0.3,0
189,Emiliano Martínez,24,Aston Villa,32, GK  ,28,2432,0,0,33,79.7,0,5.2,0,6.57,0,2,0,0,0.3,1,0,0.1,0,0,0,0.1,0,0,0,0.5,0,0,0
190,Gabriel Jesus,13,Arsenal,27," AM(LR),FW  ",6(11),604,0,0.5,11.2,80,0.1,0.1,0.1,6.57,3,4,0,1.2,0.5,1,0.5,0.6,0.5,0.8,0.8,0.6,0.2,0.8,0,0.4,0.3,0.1,0
191,Rúben Dias,167,Man City,27, D(C)  ,14(2),1279,0,0.3,80.2,94.1,0,2.4,0,6.56,0,3,0,0.8,1.1,0,0,0.3,0,0.1,0.2,0.6,0.9,0.5,0.7,2.1,0.2,0.7,1
192,James Justin,14,Leicester,27," D(CLR),M(LR)  ",25,2115,1,0.4,35.4,77.1,0.3,1.1,0,6.56,2,3,0,1,1.9,0,0.3,1.1,0.1,0.4,1,1.7,1.4,0.7,0.3,3.3,0.8,0.4,0
193,Pape Sarr,30,Tottenham,22, M(C)  ,15(11),1308,2,0.4,29.4,88,0.1,0.5,0,6.56,2,5,0,0.9,0.8,0,0.4,1,0.1,0.6,0.8,1.4,0.8,0.8,0,0.6,0.4,0.2,0
194,Jack Hinshelwood,211,Brighton,19," D(LR),DMC  ",13(2),1079,0,0.5,37.5,85.8,0.3,1.6,0,6.55,2,3,0,0.6,0.9,1,0.1,0.2,0,0.1,0.9,1.2,0.5,0.8,0.1,1.5,0.5,0.2,0
195,Ezri Konsa,24,Aston Villa,27, D(CR)  ,24,2082,0,0.1,50.3,92.8,0,0.9,0.1,6.55,1,0,0,0.3,0.8,0,0.3,1.5,0,0.3,0.5,1.2,0.8,0.3,0.7,2.9,0.2,0.4,0
196,João Gomes,161,Wolves,24, M(C)  ,25,2082,1,0.7,42.2,85.7,0.2,1.4,0.1,6.55,3,7,1,0.9,0.4,1,0.6,1,0,1.4,1,3.1,0.8,2.2,0,1.1,1.9,0.1,0
197,Kobbie Mainoo,32,Man Utd,19, M(C)  ,15(3),1291,0,0.7,36.6,87.1,0.1,1.1,0.1,6.54,0,5,0,0.6,0.9,1,1.1,1.1,0.1,1.6,1.3,2.1,0.9,1.3,0,0.2,0.7,0.1,0
198,Lucas Paquetá,29,West Ham,27," M(CLR),FW  ",20(3),1705,0,1.1,39.8,78.5,0.2,2.5,0.2,6.54,4,6,0,1.5,1.3,0,0.5,1.6,0.3,1.9,1.7,2.2,0.5,1.4,0,1,0.7,0.1,0
199,Marc Cucurella,15,Chelsea,26," D(CL),M(L)  ",23(2),2078,1,0.6,47.7,90.1,0.2,1.2,0.1,6.54,3,6,1,0.5,0.8,1,0.2,1.1,0.1,0.2,0.9,1.8,0.8,1.1,0.2,1.7,0.8,0.4,0
200,Ross Barkley,24,Aston Villa,31, M(CLR)  ,3(13),546,1,0.5,22.8,86.8,0,0.6,0,6.54,3,3,0,0.9,0.4,1,0.5,0.2,0,0.5,0.3,0.8,0.6,0.5,0,0.3,0.3,0.2,0
201,Alphonse Areola,29,West Ham,32, GK  ,15(1),1360,0,0,33.9,68.1,0,7.1,0,6.53,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.9,0.1,0,1
202,Andreas Pereira,170,Fulham,29, M(CLR)  ,17(7),1415,3,1.8,25.8,77.7,1.6,1.1,0,6.53,2,7,0,1.2,0.4,0,0.3,0.8,0,0.6,0.8,0.6,0.3,0.7,0,0.4,1,0,0
203,Robert Sánchez,15,Chelsea,27, GK  ,21,1890,0,0,34.5,69.8,0,4.1,0,6.52,0,5,0,0,0.2,2,0,0.1,0,0,0,0,0.1,0.1,0,1.1,0,0,0
204,Bilal El Khannouss,14,Leicester,20, AM(C)  ,17(5),1371,1,1.1,29.3,79.7,0.4,1.5,0.1,6.52,2,2,0,0.7,0.6,1,1.1,0.3,0,1,1,1.5,0.2,1,0,0.1,0.2,0.1,0
205,Harvey Barnes,23,Newcastle,27, AM(CL)  ,6(16),820,1,0.5,12.1,81.6,0.4,0.2,0,6.52,5,0,0,1.3,0.2,0,0.5,0.5,0.1,0.5,0.7,0.5,0.2,0.4,0,0.2,0.1,0,0
206,Paul Onuachu,18,Southampton,30, FW  ,8(9),708,1,0.4,11.1,62.2,0,0.3,0,6.52,2,2,0,1.4,4.3,1,0.4,0.7,0.3,1.5,2,0.3,0.1,1.3,0.1,0.6,0.2,0.1,0
207,Ryan Manning,18,Southampton,28," D(CL),M(CLR)  ",10(5),803,0,1.2,22.5,88.1,0.9,0.6,0.1,6.52,0,2,0,0.3,0.5,0,0.5,1.2,0,0.3,0.9,1.4,0.6,0.7,0.1,1.1,0.5,0.5,0
208,Bart Verbruggen,211,Brighton,22, GK  ,25,2250,1,0,34,75.2,0,5.8,0,6.52,0,5,0,0,0.4,1,0.1,0.1,0,0,0.1,0,0,0,0,1.3,0.1,0,0
